fuente,codigo_mgn,nombre_municipio,n_edificios,area_total_m2
google,27491,NÓVITA,0,0.0
microsoft,27491,NÓVITA,907,92695.52
google,27615,RIOSUCIO,1000,55743.69
microsoft,27615,RIOSUCIO,6107,500468.33
google,27745,SIPÍ,1,9.84
microsoft,27745,SIPÍ,319,21806.13
google,27800,UNGUÍA,5418,452923.86
microsoft,27800,UNGUÍA,5986,540767.42
google,41020,ALGECIRAS,12338,1125460.66
microsoft,41020,ALGECIRAS,8278,916330.89
google,44090,DIBULLA,23094,1319788.85
microsoft,44090,DIBULLA,12003,956486.5
google,44279,FONSECA,23632,1697365.83
microsoft,44279,FONSECA,13332,1543214.11
google,44650,SAN JUAN DEL CESAR,28564,2011270.04
microsoft,44650,SAN JUAN DEL CESAR,15579,1722984.31
google,47001,SANTA MARTA,183652,15966845.25
microsoft,47001,SANTA MARTA,67663,14207992.34
google,47053,ARACATACA,19780,1705776.82
microsoft,47053,ARACATACA,9652,967181.01
google,47189,CIÉNAGA,42068,3955667.01
microsoft,47189,CIÉNAGA,21990,3473952.89
google,47288,FUNDACIÓN,30591,2522223.39
microsoft,47288,FUNDACIÓN,15059,1888534.25
google,50325,MAPIRIPÁN,6776,513115.74
microsoft,50325,MAPIRIPÁN,4059,434827.4
google,50330,MESETAS,5795,534441.59
microsoft,50330,MESETAS,6706,819259.5
google,50350,LA MACARENA,9900,1054833.66
microsoft,50350,LA MACARENA,12894,1788025.39
google,50370,URIBE,3567,294460.56
microsoft,50370,URIBE,6705,704835.39
google,50450,PUERTO CONCORDIA,5893,470322.46
microsoft,50450,PUERTO CONCORDIA,3682,385037.19
google,50577,PUERTO LLERAS,6595,574223.52
microsoft,50577,PUERTO LLERAS,5569,647915.67
google,50590,PUERTO RICO,9290,746226.62
microsoft,50590,PUERTO RICO,7420,782480.79
google,50711,VISTA HERMOSA,12234,1075514.16
microsoft,50711,VISTA HERMOSA,9989,1091878.68
google,52079,BARBACOAS,6234,450810.86
microsoft,52079,BARBACOAS,8429,829711.42
google,52233,CUMBITARA,5350,356441.99
microsoft,52233,CUMBITARA,3975,364685.9
google,52250,EL CHARCO,5210,368789.83
microsoft,52250,EL CHARCO,6503,615121.32
google,52256,EL ROSARIO,7594,450650.77
microsoft,52256,EL ROSARIO,4855,401191.47
google,52390,LA TOLA,2009,157891.57
microsoft,52390,LA TOLA,1510,157539.96
google,52405,LEIVA,6096,393253.5
microsoft,52405,LEIVA,3980,375343.01
google,52418,LOS ANDES,7184,417755.71
microsoft,52418,LOS ANDES,3875,303296.99
google,52427,MAGÜI,2548,235262.11
microsoft,52427,MAGÜI,3442,400357.62
google,52473,MOSQUERA,597,39962.92
microsoft,52473,MOSQUERA,1731,186676.47
google,52490,OLAYA HERRERA,1208,73159.76
microsoft,52490,OLAYA HERRERA,4394,451502.32
google,52520,FRANCISCO PIZARRO,656,41714.7
microsoft,52520,FRANCISCO PIZARRO,1845,169587.92
google,52540,POLICARPA,7628,506467.79
microsoft,52540,POLICARPA,5303,485235.38
google,52612,RICAURTE,196,10848.92
microsoft,52612,RICAURTE,4878,359098.21
google,52621,ROBERTO PAYÁN,364,24444.65
microsoft,52621,ROBERTO PAYÁN,2501,218362.91
google,52696,SANTA BÁRBARA,1505,105482.72
microsoft,52696,SANTA BÁRBARA,2488,260830.14
google,52835,SAN ANDRES DE TUMACO,50493,3793315.73
microsoft,52835,SAN ANDRES DE TUMACO,41423,4524735.4
google,54206,CONVENCIÓN,14277,1111196.34
microsoft,54206,CONVENCIÓN,8465,904541.97
google,54245,EL CARMEN,8903,672033.16
microsoft,54245,EL CARMEN,5884,543155.31
google,54250,EL TARRA,9826,785842.8
microsoft,54250,EL TARRA,10956,1177331.02
google,54344,HACARÍ,6756,491249.46
microsoft,54344,HACARÍ,4874,473920.92
google,54670,SAN CALIXTO,7736,536645.09
microsoft,54670,SAN CALIXTO,5360,504869.46
google,54720,SARDINATA,13388,1101394.88
microsoft,54720,SARDINATA,10090,1112652.95
google,54800,TEORAMA,10550,878516.47
microsoft,54800,TEORAMA,8525,932560.89
google,54810,TIBÚ,32843,2636703.11
microsoft,54810,TIBÚ,35478,3569509.95
google,70204,COLOSO,6278,401576.28
microsoft,70204,COLOSO,3999,318958.43
google,70230,CHALÁN,3144,206265.37
microsoft,70230,CHALÁN,1902,151648.35
google,70418,LOS PALMITOS,13792,855428.03
microsoft,70418,LOS PALMITOS,7011,668974.55
google,70473,MORROA,10424,651957.41
microsoft,70473,MORROA,5015,511017.18
google,70508,OVEJAS,16588,1067784.7
microsoft,70508,OVEJAS,9648,812703.19
google,70523,SAN ANTONIO DE PALMITO,8938,498134.67
microsoft,70523,SAN ANTONIO DE PALMITO,4812,377626.43
google,70713,SAN ONOFRE,24614,1691975.94
microsoft,70713,SAN ONOFRE,17348,1490877.96
google,70823,TOLÚ VIEJO,15330,964473.76
microsoft,70823,TOLÚ VIEJO,8333,769203.31
google,73067,ATACO,5354,439247.93
microsoft,73067,ATACO,10931,1015117.87
google,73168,CHAPARRAL,18703,1719404.81
microsoft,73168,CHAPARRAL,16849,1974276.54
google,73555,PLANADAS,7276,538085.15
microsoft,73555,PLANADAS,11274,983316.48
google,73616,RIOBLANCO,1329,102859.07
microsoft,73616,RIOBLANCO,9018,792319.66
google,76109,BUENAVENTURA,103890,7658352.05
microsoft,76109,BUENAVENTURA,33020,7138217.08
google,76275,FLORIDA,14231,1663995.84
microsoft,76275,FLORIDA,8374,1625821.71
google,76563,PRADERA,12953,1555634.34
microsoft,76563,PRADERA,7428,1568340.22
google,81065,ARAUQUITA,35077,2919565.44
microsoft,81065,ARAUQUITA,27815,3317209.87
google,81300,FORTUL,15564,1328203.26
microsoft,81300,FORTUL,9760,1155772.29
google,81736,SARAVENA,25140,1992293.37
microsoft,81736,SARAVENA,16141,2961965.48
google,81794,TAME,35958,3183325.12
microsoft,81794,TAME,20958,2761029.83
google,86001,MOCOA,22816,2242457.94
microsoft,86001,MOCOA,12229,2087524.91
google,86320,ORITO,18074,1624784.72
microsoft,86320,ORITO,17840,2029245.49
google,86568,PUERTO ASÍS,27581,2660278.32
microsoft,86568,PUERTO ASÍS,21234,3056417.43
google,86569,PUERTO CAICEDO,7768,689675.51
microsoft,86569,PUERTO CAICEDO,6093,730699.8
google,86571,PUERTO GUZMÁN,8326,695705.79
microsoft,86571,PUERTO GUZMÁN,10745,1120443.49
google,86573,LEGUÍZAMO,2898,218214.24
microsoft,86573,LEGUÍZAMO,7850,967650.53
google,86757,SAN MIGUEL,12160,925673.03
microsoft,86757,SAN MIGUEL,8558,887836.75
google,86865,VALLE DEL GUAMUEZ,16228,1492643.42
microsoft,86865,VALLE DEL GUAMUEZ,14349,1631941.78
google,86885,VILLAGARZÓN,13366,1296896.82
microsoft,86885,VILLAGARZÓN,9550,1346246.55
google,95001,SAN JOSÉ DEL GUAVIARE,32695,3147419.35
microsoft,95001,SAN JOSÉ DEL GUAVIARE,21446,3099880.81
google,95015,CALAMAR,5708,520488.95
microsoft,95015,CALAMAR,5411,624786.34
google,95025,EL RETORNO,11332,922277.4
microsoft,95025,EL RETORNO,8453,898384.29
google,95200,MIRAFLORES,3670,318022.51
microsoft,95200,MIRAFLORES,1773,207860.95
