codigo_mgn,nombre_municipio,departamento,subregion_pdet,google_edificios,google_area_m2,microsoft_edificios_original,microsoft_area_m2_original,microsoft_duplicados_con_google,microsoft_unicos_agregados,microsoft_area_m2_unica_agregada,total_edificios_sin_duplicados,total_area_m2_sin_duplicados,overlap_min_ratio,fuente_prioritaria
19780,SUÁREZ,,ALTO PATÍA Y NORTE DEL CAUCA,14544,890893.92,10556,926119.21,4205,6351,442678.77,20895,1333572.69,0.5,google
19809,TIMBIQUÍ,,PACÍFICO MEDIO,5938,450872.12,5178,560380.89,2006,3172,268115.96,9110,718988.08,0.5,google
19821,TORIBIO,,ALTO PATÍA Y NORTE DEL CAUCA,11452,779021.93,10253,901024.59,3974,6279,470326.22,17731,1249348.15,0.5,google
20001,VALLEDUPAR,,SIERRA NEVADA - PERIJÁ,171425,15306269.53,14969,1527932.73,6583,8386,395061.78,179811,15701331.31,0.5,google
20013,AGUSTÍN CODAZZI,,SIERRA NEVADA - PERIJÁ,34733,2699284.28,2575,192102.86,1665,910,56253.02,35643,2755537.3,0.5,google
20045,BECERRIL,,SIERRA NEVADA - PERIJÁ,12958,922818.81,8000,793821.93,4959,3041,166738.84,15999,1089557.65,0.5,google
20400,LA JAGUA DE IBIRICO,,SIERRA NEVADA - PERIJÁ,20110,1640398.04,14624,1669986.71,9026,5598,350219.63,25708,1990617.67,0.5,google
20443,MANAURE BALCÓN DEL CESAR,,SIERRA NEVADA - PERIJÁ,5951,461127.77,3441,421247.27,2138,1303,92145.98,7254,553273.75,0.5,google
20570,PUEBLO BELLO,,SIERRA NEVADA - PERIJÁ,15833,983498.53,1592,78705.21,264,1328,52731.93,17161,1036230.46,0.5,google
20621,LA PAZ,,SIERRA NEVADA - PERIJÁ,20413,1372123.08,3539,335383.09,1373,2166,156687.92,22579,1528811.0,0.5,google
20750,SAN DIEGO,,SIERRA NEVADA - PERIJÁ,12205,899234.85,48,4043.88,34,14,882.37,12219,900117.22,0.5,google
23466,MONTELÍBANO,,SUR DE CÓRDOBA,28089,2506824.18,18723,2498713.98,10632,8091,628632.82,36180,3135457.0,0.5,google
23580,PUERTO LIBERTADOR,,SUR DE CÓRDOBA,14553,1128174.75,13728,1260961.08,5643,8085,557204.66,22638,1685379.41,0.5,google
23682,SAN JOSE DE URE,,SUR DE CÓRDOBA,4028,271056.41,4003,364123.26,1703,2300,161056.98,6328,432113.39,0.5,google
23807,TIERRALTA,,SUR DE CÓRDOBA,43123,3078702.71,4190,345709.21,2043,2147,131228.98,45270,3209931.69,0.5,google
23855,VALENCIA,,SUR DE CÓRDOBA,25094,1711622.33,0,0.0,0,0,0.0,25094,1711622.33,0.5,google
27006,ACANDÍ,,CHOCÓ,6395,463386.29,2010,180312.01,303,1707,143053.1,8102,606439.39,0.5,google
27099,BOJAYA,,CHOCÓ,0,0.0,2004,172831.14,0,2004,172831.14,2004,172831.14,0.5,google
27150,CARMEN DEL DARIEN,,CHOCÓ,281,12611.78,3832,307925.64,26,3806,306112.01,4087,318723.79,0.5,google
27205,CONDOTO,,CHOCÓ,239,18001.88,141,11090.64,13,128,9841.66,367,27843.54,0.5,google
27250,EL LITORAL DEL SAN JUAN,,CHOCÓ,309,38131.48,1067,100736.31,11,1056,99430.2,1365,137561.68,0.5,google
27361,ISTMINA,,CHOCÓ,6766,668940.19,24,1882.31,10,14,820.62,6780,669760.81,0.5,google
27425,MEDIO ATRATO,,CHOCÓ,313,19420.56,1615,155758.71,175,1440,141845.84,1753,161266.4,0.5,google
27450,MEDIO SAN JUAN,,CHOCÓ,0,0.0,0,0.0,0,0,0.0,0,0.0,0.5,google
27491,NÓVITA,,CHOCÓ,0,0.0,907,92695.52,0,907,92695.52,907,92695.52,0.5,google
27615,RIOSUCIO,,CHOCÓ,1000,55743.69,6107,500468.33,402,5705,463334.36,6705,519078.05,0.5,google
27745,SIPÍ,,CHOCÓ,1,9.84,319,21806.13,0,319,21806.13,320,21815.97,0.5,google
27800,UNGUÍA,,CHOCÓ,5418,452923.86,5986,540767.42,2227,3759,260987.5,9177,713911.36,0.5,google
41020,ALGECIRAS,,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,12338,1125460.66,8278,916330.89,4980,3298,227929.4,15636,1353390.06,0.5,google
44090,DIBULLA,,SIERRA NEVADA - PERIJÁ,23094,1319788.85,12003,956486.5,7500,4503,241443.07,27597,1561231.92,0.5,google
44279,FONSECA,,SIERRA NEVADA - PERIJÁ,23632,1697365.83,13332,1543214.11,7059,6273,380536.99,29905,2077902.82,0.5,google
44650,SAN JUAN DEL CESAR,,SIERRA NEVADA - PERIJÁ,28564,2011270.04,15579,1722984.31,9117,6462,368031.91,35026,2379301.95,0.5,google
47001,SANTA MARTA,,SIERRA NEVADA - PERIJÁ,183652,15966845.25,67663,14207992.34,43213,24450,1869332.25,208102,17836177.5,0.5,google
47053,ARACATACA,,SIERRA NEVADA - PERIJÁ,19780,1705776.82,9652,967181.01,6622,3030,160155.77,22810,1865932.59,0.5,google
47189,CIÉNAGA,,SIERRA NEVADA - PERIJÁ,42068,3955667.01,21990,3473952.89,14860,7130,478970.25,49198,4434637.26,0.5,google
47288,FUNDACIÓN,,SIERRA NEVADA - PERIJÁ,30591,2522223.39,15059,1888534.25,11092,3967,206434.83,34558,2728658.22,0.5,google
50325,MAPIRIPÁN,,MACARENA - GUAVIARE,6776,513115.74,4059,434827.4,1965,2094,165485.56,8870,678601.3,0.5,google
50330,MESETAS,,MACARENA - GUAVIARE,5795,534441.59,6706,819259.5,1956,4750,445071.07,10545,979512.66,0.5,google
50350,LA MACARENA,,MACARENA - GUAVIARE,9900,1054833.66,12894,1788025.39,4111,8783,1069593.19,18683,2124426.85,0.5,google
50370,URIBE,,MACARENA - GUAVIARE,3567,294460.56,6705,704835.39,890,5815,566065.19,9382,860525.75,0.5,google
50450,PUERTO CONCORDIA,,MACARENA - GUAVIARE,5893,470322.46,3682,385037.19,2419,1263,82357.87,7156,552680.33,0.5,google
50577,PUERTO LLERAS,,MACARENA - GUAVIARE,6595,574223.52,5569,647915.67,2782,2787,234683.36,9382,808906.88,0.5,google
50590,PUERTO RICO,,MACARENA - GUAVIARE,9290,746226.62,7420,782480.79,4450,2970,227517.04,12260,973743.66,0.5,google
50711,VISTA HERMOSA,,MACARENA - GUAVIARE,12234,1075514.16,9989,1091878.68,5952,4037,284099.33,16271,1359613.49,0.5,google
52079,BARBACOAS,,PACÍFICO Y FRONTERA NARIÑENSE,6234,450810.86,8429,829711.42,2190,6239,466288.64,12473,917099.5,0.5,google
52233,CUMBITARA,,ALTO PATÍA Y NORTE DEL CAUCA,5350,356441.99,3975,364685.9,1854,2121,148112.39,7471,504554.38,0.5,google
52250,EL CHARCO,,PACÍFICO Y FRONTERA NARIÑENSE,5210,368789.83,6503,615121.32,2378,4125,326266.21,9335,695056.04,0.5,google
52256,EL ROSARIO,,ALTO PATÍA Y NORTE DEL CAUCA,7594,450650.77,4855,401191.47,1856,2999,199964.45,10593,650615.22,0.5,google
52390,LA TOLA,,PACÍFICO Y FRONTERA NARIÑENSE,2009,157891.57,1510,157539.96,830,680,54902.43,2689,212794.0,0.5,google
52405,LEIVA,,ALTO PATÍA Y NORTE DEL CAUCA,6096,393253.5,3980,375343.01,939,3041,231752.49,9137,625005.99,0.5,google
52418,LOS ANDES,,ALTO PATÍA Y NORTE DEL CAUCA,7184,417755.71,3875,303296.99,869,3006,209878.96,10190,627634.67,0.5,google
52427,MAGÜI,,PACÍFICO Y FRONTERA NARIÑENSE,2548,235262.11,3442,400357.62,1107,2335,209983.13,4883,445245.24,0.5,google
52473,MOSQUERA,,PACÍFICO Y FRONTERA NARIÑENSE,597,39962.92,1731,186676.47,208,1523,160043.0,2120,200005.92,0.5,google
52490,OLAYA HERRERA,,PACÍFICO Y FRONTERA NARIÑENSE,1208,73159.76,4394,451502.32,143,4251,435901.54,5459,509061.3,0.5,google
52520,FRANCISCO PIZARRO,,PACÍFICO Y FRONTERA NARIÑENSE,656,41714.7,1845,169587.92,137,1708,157514.63,2364,199229.33,0.5,google
52540,POLICARPA,,ALTO PATÍA Y NORTE DEL CAUCA,7628,506467.79,5303,485235.38,1809,3494,251065.86,11122,757533.65,0.5,google
52612,RICAURTE,,PACÍFICO Y FRONTERA NARIÑENSE,196,10848.92,4878,359098.21,20,4858,357264.68,5054,368113.6,0.5,google
52621,ROBERTO PAYÁN,,PACÍFICO Y FRONTERA NARIÑENSE,364,24444.65,2501,218362.91,101,2400,206769.14,2764,231213.79,0.5,google
52696,SANTA BÁRBARA,,PACÍFICO Y FRONTERA NARIÑENSE,1505,105482.72,2488,260830.14,615,1873,168959.38,3378,274442.1,0.5,google
52835,SAN ANDRES DE TUMACO,,PACÍFICO Y FRONTERA NARIÑENSE,50493,3793315.73,41423,4524735.4,16430,24993,2162482.71,75486,5955798.44,0.5,google
