fuente,codigo_mgn,nombre_municipio,n_edificios,area_total_m2,area_promedio_m2,area_min_m2,area_max_m2,conf_promedio
microsoft,50325,MAPIRIPÁN,4059,,,,,
google,13442,MARÍA LA BAJA,20569,1460888.03,71.02377509844912,2.55,2609.51,0.7811707132091983
google,27425,MEDIO ATRATO,313,19454.59,62.15523961661342,8.06,370.03,0.7645038338658148
microsoft,27450,MEDIO SAN JUAN,1027,,,,,
google,19450,MERCADERES,11486,905417.38,78.8279104997388,2.64,5884.18,0.7837605084450635
microsoft,19450,MERCADERES,7167,,,,,
google,50330,MESETAS,5795,537491.67,92.75093528904229,4.66,2977.86,0.7812485073339086
microsoft,50330,MESETAS,6706,,,,,
google,18460,MILÁN,3630,364726.24,100.4755482093664,5.23,2199.34,0.773929173553719
microsoft,18460,MILÁN,3690,,,,,
google,95200,MIRAFLORES,3670,319843.5,87.1508174386921,4.4,1843.39,0.779669863760218
microsoft,95200,MIRAFLORES,1773,,,,,
google,19455,MIRANDA,10353,1214712.67,117.32953443446344,2.97,17451.31,0.7853661740558292
microsoft,19455,MIRANDA,6625,,,,,
google,86001,MOCOA,22816,2246954.44,98.48152349228612,4.02,4758.68,0.7615199991234222
microsoft,86001,MOCOA,12229,,,,,
google,23466,MONTELÍBANO,28089,2516769.79,89.59983587881378,3.79,7825.5,0.7751061020328243
google,19473,MORALES,31057,1969077.44,63.4020491354606,3.32,2643.15,0.7866434394822424
google,13473,MORALES,11982,881383.34,73.55895009180438,3.16,1417.94,0.7866211901185111
microsoft,19473,MORALES,16396,,,,,
google,18479,MORELIA,2402,275623.69,114.74758118234804,5.13,1580.82,0.7731283513738552
microsoft,18479,MORELIA,1558,,,,,
google,70473,MORROA,10424,654654.86,62.80265349194167,4.33,735.64,0.7891905794320798
google,52473,MOSQUERA,597,39843.58,66.73966499162479,3.78,416.03,0.7881623115577889
microsoft,52473,MOSQUERA,1731,,,,,
google,05480,MUTATÁ,5537,469386.35,84.77268376377098,4.68,1324.67,0.7825468304135814
google,05495,NECHÍ,3492,231978.01,66.43127434135167,4.56,925.21,0.7709954180985108
google,05490,NECOCLÍ,32183,2344790.56,72.85804803778393,2.84,2360.32,0.7863920858838517
microsoft,27491,NÓVITA,452,,,,,
google,52490,OLAYA HERRERA,1208,72979.98,60.413890728476815,5.56,454.54,0.767541142384106
microsoft,52490,OLAYA HERRERA,4394,,,,,
google,86320,ORITO,18074,1627162.77,90.02781730662831,3.5,3359.87,0.7850301372136771
microsoft,86320,ORITO,17840,,,,,
google,70508,OVEJAS,16588,1072348.97,64.6460676392573,3.35,3768.8,0.7740009946949603
google,19532,PATÍA,17995,1499369.19,83.32143317588219,2.74,5549.55,0.7852134037232564
microsoft,19532,PATÍA,11030,,,,,
google,73555,PLANADAS,7276,540162.27,74.23890461792193,4.24,1031.75,0.7585172759758109
microsoft,73555,PLANADAS,11274,,,,,
google,52540,POLICARPA,7628,506410.02,66.38830886208704,3.91,1251.49,0.7796662821185107
microsoft,52540,POLICARPA,5303,,,,,
google,76563,PRADERA,12953,1560035.02,120.43812398672122,3.66,11353.58,0.7696029414035359
microsoft,76563,PRADERA,7428,,,,,
google,20570,PUEBLO BELLO,15833,988961.25,62.46202551632666,3.33,3573.18,0.7751118549864208
google,86568,PUERTO ASÍS,27581,2666420.48,96.6759899931112,2.66,3419.21,0.7818945759762156
microsoft,86568,PUERTO ASÍS,21234,,,,,
google,86569,PUERTO CAICEDO,7768,691167.94,88.97630535530381,3.83,2278.88,0.7869125128733264
microsoft,86569,PUERTO CAICEDO,6093,,,,,
google,50450,PUERTO CONCORDIA,5893,473164.99,80.29271847955201,3.21,1538.43,0.783954675038181
microsoft,50450,PUERTO CONCORDIA,3682,,,,,
google,86571,PUERTO GUZMÁN,8326,697891.91,83.82079149651693,4.63,1905.54,0.7827610377131876
microsoft,86571,PUERTO GUZMÁN,10746,,,,,
google,23580,PUERTO LIBERTADOR,14553,1132287.2,77.80438397581254,3.41,9673.36,0.7800528619528619
